ID PUNTO DE VENTA,PUNTO DE VENTA,ID SAP,PAÍS,ID REGIONAL,REGIONAL,DEPARTAMENTO,ID CIUDAD,CIUDAD,CEDI,ID ZONA,LATITUD,LONGITUD,ID CANAL,CANAL,ID SUBCANAL,SUBCANAL,ID TIPOLOGÍA,TIPOLOGÍA,ID CADENA,CADENA,ID SEGMENTO,SEGMENTO,ESTADO,DIRECCIÓN,ID BARRIO,BARRIO,CLIENTE ID,CLIENTE,ESTADO ASOC CLIENTE,ID LAB
2270576,AKIPI ALKOSTO IPIALES 1,1331020240.0,COLOMBIA,39380003,OCCIDENTE,NARIÑO,52356,IPIALES,CEDI Ipiales,,0.8241867,-77.6346689,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KR 5 8 26,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1331020240.0
2270577,AKIPI ALKOSTO IPIALES 2,1331039157.0,COLOMBIA,39380003,OCCIDENTE,NARIÑO,52356,IPIALES,CEDI Ipiales,,0.8250165,-77.6469262,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KR 13 CL 20,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1331039157.0
2270578,AKOFI OFICINAS ALKOSTO,8337834754.0,COLOMBIA,39380001,CENTRO SUR,CUNDINAMARCA,25430,MADRID,CEDI Ipiales,,4.7335375,-74.2624115,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KM 35 VIA FONTIBON MOSQUERA,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,8337834754.0
2270579,AKOMER 170,227017352.0,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,CEDI Ipiales,,4.7589342,-74.0629738,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KR 68 170 15,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,227017352.0
2270580,AKOMER AV 68,421300106.0,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,CEDI Ipiales,,4.630879,-74.121395,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KR 68 72 43,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,421300106.0
2270581,AKOMER FLORIDABLANCA,2971052653.0,COLOMBIA,39380006,SANTANDER,SANTANDER,68307,GIRÓN,CEDI Ipiales,,7.0608412,-73.1198614,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,K 2 5 ANILLO VIAL GIRON FLORIDABLAN,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,2971052653.0
2270582,AKOMER PEREIRA,107003755.0,COLOMBIA,39380003,OCCIDENTE,RISARALDA,66001,PEREIRA,CEDI Ipiales,,4.835608,-75.681809,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,AV LAS AMERICAS 46 03,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,107003755.0
2270583,AKOMER VILLAVICENCIO,1229024626.0,COLOMBIA,39380006,SANTANDER,META,50001,VILLAVICENCIO,CEDI Ipiales,,4.1491688,-73.6285475,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,KR 69 170 15,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1229024626.0
2270584,AKPAS ALKOSTO BOLIVAR PASTO,1330009238.0,COLOMBIA,39380003,OCCIDENTE,NARIÑO,52001,PASTO,GAS. CORDOBA PASTO,,1.2059174,-77.2663174,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,AV BOLIVAR,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1330009238.0
2270585,AKPER ALKOSTO PEREIRA,107117955.0,COLOMBIA,39380003,OCCIDENTE,RISARALDA,66001,PEREIRA,POSTOBON DOSQUEBRADA,,4.807419,-75.717718,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,AV LAS AMERICAS 46 23,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,107117955.0
2270586,AKT MOTOS,2971552509.0,COLOMBIA,39380006,SANTANDER,SANTANDER,68001,BUCARAMANGA,POSTOBON DOSQUEBRADA,,7.1117943,-73.1206871,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,DG 15 50 41,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,2971552509.0
2270588,AKVEN ALKOSTO VENECIA,215100415.0,COLOMBIA,39380001,CENTRO SUR,BOGOTA D.C,11001,BOGOTÁ,GASEOSAS LUX,,4.59530475,-74.13562042,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,AV CL 44C SUR 51 90,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,215100415.0
2270589,AKVIL ALKOSTO VILLAVICENCIO,1229000014.0,COLOMBIA,39380006,SANTANDER,META,50001,VILLAVICENCIO,GAS. CORDOBA VILLAVI,,4.1443828,-73.633488,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,CL 31 31 95,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1229000014.0
2270590,AKYOP ALKOSTO YOPAL,1737007368.0,COLOMBIA,39380006,SANTANDER,CASANARE,85001,YOPAL,CEDI YOPAL,,5.3398368,-72.3864811,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,CL 24 28 72,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1737007368.0
2271070,AL DIA,227029989.0,COLOMBIA,39380005,CENTRO NORTE,BOGOTA D.C,11001,BOGOTÁ,LUX CEDI LA 80,,4.681778,-74.106105,9256,SUPERETES,286927,AUTOSERVICIOS,312429,D,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,CL 64 F 77 10,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,227029989.0
2270591,AL KOMPRAR,1634913737.0,COLOMBIA,39380006,SANTANDER,SANTANDER,68081,BARRANCABERMEJA,LUX CEDI LA 80,,7.0671848,-73.8579153,224426,GRANDES CUENTAS,286925,ALKOSTO,308956,NO APLICA   ,2354,ALKOSTO,286926,ALKOSTO,ACTIVO,CENTRO COMERCIAL SAN SILVESTRE LOCA,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,1634913737.0
2271071,ALCOSTO,227009439.0,COLOMBIA,39380005,CENTRO NORTE,BOGOTA D.C,11001,BOGOTÁ,LUX CEDI LA 80,,4.558799,-74.084458,9256,SUPERETES,286927,AUTOSERVICIOS,312429,D,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,CL 132 D 144 A 13,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,227009439.0
2271072,ALCOSTO ALMENDROS,227011862.0,COLOMBIA,39380005,CENTRO NORTE,BOGOTA D.C,11001,BOGOTÁ,LUX CEDI LA 80,,4.75674,-74.100204,9256,SUPERETES,286927,AUTOSERVICIOS,312428,C,98694,AUTOSERVICIOS,308921,NO APLICA,ACTIVO,CL 152 B 114 D 15,81,SIN BARRIO,3938,ALIMENTOS SA,ACTIVO,227011862.0
